Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C8",0402,3,10uF,
"C2, C4",0402,2,100nF,
"C5, C6, C7",0402,3,0.1uF,
D1,0402,1,LED,
J1,JST_SHL_SM06B-SHLS-TF_1x06-1MP_P1.00mm_Horizontal,1,ESP32 Flashing connector,
J2,PinHeader_1x02_P2.00mm_Vertical,1,Power Input,
R1,0402,1,1k,
R3,0402,1,10k,
SW1,SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm,1,Model selection,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,9,TestPoint,
U1,ESP32-WROOM-32U,1,ESP32-WROOM-32U,
U2,SOT-223,1,AMS1117-3.3,
U3,Quectel_L96,1,L96,
