Designator,Mid X,Mid Y,Rotation,Layer
C1,110.69,-75.89,90.0,top
C2,109.5,-75.87,90.0,top
C3,96.61,-75.26,270.0,top
C4,95.39,-75.26,270.0,top
C5,109.6325,-73.06,180.0,bottom
C6,89.36,-89.1025,270.0,top
C7,109.6225,-71.22,180.0,bottom
C8,109.6225,-72.14,180.0,bottom
D1,97.92,-69.98,0.0,top
J1,91.22,-72.16,180.0,top
J2,110.1,-79.73,180.0,top
R1,97.25,-71.9475,90.0,top
R3,89.21,-75.72,180.0,top
SW1,98.49,-83.67,180.0,top
U1,98.575,-78.77,0.0,bottom
U2,103.83,-72.73,180.0,top
U3,98.57,-98.93,0.0,top
